long_artist,long_song,full_minutes
Led Zeppelin,Dazed And Confused,26
Deep Purple,Space Truckin',19
Santana,We've Got To Get Together/Jingo,17
Miles Davis,My Funny Valentine (Live),15
"Terry Bozzio, Tony Levin & Steve Stevens",The Sun Road,14
Iron Maiden,Rime of the Ancient Mariner,13
The Doors,The End,11
Frank Zappa & Captain Beefheart,Advance Romance,11
Temple of the Dog,Reach Down,11
Metallica,Mercyful Fate,11
Rush,Xanadu,11
Creedence Clearwater Revival,I Heard It Through The Grapevine,11
Amy Winehouse,Amy Amy Amy (Outro),11
Dennis Chambers,Outbreak,10
Black Sabbath,Sleeping Village,10
Jamiroquai,Revolution 1993,10
Guns N' Roses,Coma,10